============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Cu (29)   Ion Mass= 062.9300
Energy  = 3000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.2640E+04  3.4192E+03  4.1417E+03
0000002   3.1423E+04  6.3797E+03  4.6884E+03
0000003   4.0840E+04  2.6290E+03 -9.2015E+03
0000004   4.2598E+04 -2.4171E+03  5.3491E+03
0000005   3.9836E+04 -3.5457E+03  6.1600E+03
0000006   4.4056E+04  4.1089E+03  2.6703E+03
0000007   4.4962E+04  1.0531E+04 -1.5784E+03
0000008   3.9498E+04 -5.5604E+03  8.0929E+03
0000009   3.9922E+04  1.0418E+02  4.8573E+03
0000010   3.8624E+04 -2.9515E+03  1.8329E+02
0000011   3.7619E+04 -2.2153E+02 -4.7686E+03
0000012   3.9780E+04  4.0053E+03 -2.3566E+02
0000013   3.6186E+04 -2.2570E+03 -1.6066E+03
0000014   4.0664E+04  4.0557E+03 -7.1229E+03
0000015   4.1458E+04  2.9562E+03 -7.8109E+03
0000016   3.7701E+04 -8.5840E+03  7.7830E+03
0000017   4.4212E+04  1.6400E+03 -4.4149E+03
0000018   4.4421E+04 -1.4295E+03 -3.3615E+03
0000019   4.1008E+04 -9.3808E+03  1.3626E+03
0000020   3.7800E+04 -2.1415E+03 -3.5134E+02
0000021   3.8566E+04 -3.9934E+03 -4.2266E+02
0000022   3.9895E+04 -4.0649E+03 -5.1556E+03
0000023   4.0750E+04 -2.4492E+03 -1.2052E+03
0000024   2.7128E+04  1.3305E+04  3.9818E+03
0000025   4.3734E+04 -4.6527E+03  9.1715E+03
0000026   4.5347E+04 -2.7701E+03 -2.1590E+03
0000027   4.5299E+04  1.1594E+03  1.2318E+03
0000028   4.0542E+04 -2.1067E+03  4.4298E+03
0000029   4.1996E+04  2.7756E+02  7.8537E+03
0000030   3.9242E+04  2.6710E+03  6.3305E+03
0000031   4.3305E+04 -4.5869E+03  3.2296E+03
0000032   3.9638E+04  3.5080E+03 -4.3952E+03
0000033   4.0058E+04  4.3701E+03 -2.3818E+03
0000034   4.4817E+04 -4.7085E+03 -8.7050E+02
0000035   3.6368E+04 -1.1276E+03  5.0634E+03
0000036   3.9196E+04  8.8908E+03 -9.4844E+03
0000037   4.3550E+04 -4.7627E+03 -3.0593E+02
0000038   4.2348E+04 -9.5362E+03  3.6138E+03
0000039   3.9529E+04  2.8732E+03 -5.5771E+03
0000040   3.3660E+04 -1.4069E+03 -5.8260E+03
0000041   4.4598E+04 -3.1814E+03  2.0611E+03
0000042   3.9429E+04 -9.4073E+03 -7.6863E+03
0000043   4.0429E+04  2.8085E+02  8.2230E+03
0000044   4.0048E+04 -3.1670E+03 -3.2167E+02
0000045   3.5671E+04 -3.3431E+02  9.8089E+02
0000046   3.8122E+04 -9.0784E+03  2.0655E+02
0000047   3.9908E+04 -1.0971E+04  3.3956E+03
0000048   3.9935E+04  3.8238E+03  2.0895E+03
0000049   3.8459E+04 -4.9207E+03  1.3257E+03
0000050   4.5403E+04  2.5922E+03  9.2539E+03
0000051   4.1861E+04  4.5731E+03  4.9999E+03
0000052   4.3755E+04  1.3787E+03  4.3231E+02
0000053   4.1204E+04 -7.2413E+03  6.8187E+03
0000054   4.0207E+04 -4.0932E+02  2.6128E+02
0000055   4.2302E+04  1.1678E+03  5.3527E+03
0000056   4.6022E+04  1.5678E+03 -3.8046E+03
0000057   3.8517E+04 -1.2549E+04  2.9882E+03
0000058   3.1943E+04  3.1994E+03 -1.6716E+03
0000059   4.4883E+04 -5.9430E+01 -6.5249E+03
0000060   4.4465E+04 -6.4304E+02 -1.3849E+03
0000061   3.3800E+04  3.0811E+03  6.2820E+03
0000062   4.0842E+04 -6.4746E+03 -2.8614E+03
0000063   4.7071E+04 -1.8933E+03  5.5694E+03
0000064   3.9469E+04 -1.1054E+02  9.0670E+02
0000065   4.4269E+04  1.3938E+03  3.6084E+03
0000066   4.2671E+04  6.0771E+03 -8.9776E+03
0000067   3.4960E+04 -2.9857E+03 -1.6731E+04
0000068   4.2684E+04  2.7623E+03 -1.8059E+03
0000069   4.7110E+04 -1.0302E+03 -2.2208E+03
0000070   4.3776E+04 -2.7588E+03  5.3554E+02
0000071   4.1165E+04  1.3900E+03  1.3997E+03
0000072   4.0415E+04 -5.4694E+03  4.8401E+03
0000073   4.2097E+04 -2.3315E+03 -5.3200E+03
0000074   3.9009E+04  8.3618E+03 -1.8828E+03
0000075   4.1508E+04 -4.4468E+03 -4.7512E+03
0000076   3.6166E+04  7.8327E+02 -8.6693E+03
0000077   4.5053E+04  2.9482E+03  2.5947E+03
0000078   4.2974E+04  3.2133E+02  4.7241E+03
0000079   4.1883E+04  5.3577E+03 -6.9275E+02
0000080   4.1320E+04 -4.1946E+03  1.2352E+04
0000081   4.0283E+04 -8.4402E+03 -3.3204E+03
0000082   3.9963E+04  2.9247E+03  3.9461E+03
0000083   4.1790E+04 -5.1852E+03  8.1737E+02
0000084   4.3871E+04  4.1740E+03  4.2206E+03
0000085   4.1817E+04  3.5300E+03 -3.8306E+03
0000086   4.2829E+04 -6.8383E+03  3.8055E+03
0000087   4.4485E+04  2.4181E+03  2.4392E+03
0000088   4.2639E+04  1.7725E+03 -4.4559E+03
0000089   4.5147E+04  1.8069E+03 -1.3156E+03
0000090   3.7566E+04 -3.9154E+03 -8.6295E+02
0000091   4.4499E+04  1.3895E+03  2.4156E+03
0000092   4.2801E+04 -8.0533E+03 -1.2696E+02
0000093   4.2125E+04  8.3563E+03 -1.3386E+02
0000094   3.8684E+04  2.8351E+03  5.0185E+02
0000095   4.3660E+04 -8.7747E+02  6.0359E+03
0000096   4.5963E+04  2.3162E+03 -8.3573E+02
0000097   4.3629E+04 -8.8479E+02  5.0869E+03
0000098   4.3883E+04 -6.1547E+02 -1.9303E+03
0000099   3.1582E+04  3.5270E+03 -2.2075E+02
0000100   3.7573E+04 -5.2427E+03 -7.3633E+03
0000101   4.1957E+04 -3.3546E+03  4.2943E+03
0000102   4.2861E+04  1.9063E+03 -7.4247E+03
0000103   4.3693E+04  6.9474E+02  1.0438E+03
0000104   4.3649E+04 -5.4617E+03  1.0538E+04
0000105   4.1545E+04  7.7354E+03 -6.7940E+03
0000106   3.8346E+04  1.1708E+04 -3.2284E+03
