====== Cu (10) into Layer 1                     =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Cu   Energy = 40000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     8.E+04 A ;
  Layer # 1- Density = 8.453E22 atoms/cm3 = 8.92 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Total Target Vacancies     = 19893 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
800010.E-03  6237.80E-06  6241.78E-05  
160001.E-02  6593.48E-06  6490.97E-05  
240001.E-02  6743.34E-06  6823.42E-05  
320001.E-02  6873.22E-06  6963.31E-05  
400001.E-02  7048.25E-06  7152.15E-05  
480001.E-02  7200.86E-06  7551.41E-05  
560001.E-02  7356.39E-06  7811.26E-05  
640001.E-02  7522.44E-06  7875.51E-05  
720001.E-02  7734.98E-06  8052.43E-05  
800001.E-02  7910.70E-06  8551.52E-05  
880001.E-02  8121.06E-06  8554.97E-05  
960001.E-02  8334.92E-06  9268.37E-05  
104000.E-01  8545.04E-06  9424.11E-05  
112000.E-01  8772.58E-06  9621.97E-05  
120000.E-01  9014.49E-06  1040.05E-04  
128000.E-01  9245.13E-06  1035.28E-04  
136000.E-01  9492.04E-06  1103.99E-04  
144000.E-01  9780.19E-06  1165.65E-04  
152000.E-01  1006.25E-05  1209.41E-04  
160000.E-01  1034.30E-05  1267.36E-04  
168000.E-01  1066.16E-05  1312.29E-04  
176000.E-01  1099.05E-05  1356.71E-04  
184000.E-01  1133.29E-05  1431.70E-04  
192000.E-01  1170.04E-05  1474.92E-04  
200000.E-01  1206.44E-05  1558.30E-04  
208000.E-01  1245.51E-05  1613.43E-04  
216000.E-01  1285.57E-05  1716.80E-04  
224000.E-01  1329.40E-05  1802.10E-04  
232000.E-01  1374.53E-05  1871.29E-04  
240000.E-01  1422.61E-05  1997.75E-04  
248000.E-01  1469.20E-05  2067.56E-04  
256000.E-01  1526.18E-05  2173.13E-04  
264000.E-01  1583.77E-05  2290.10E-04  
272000.E-01  1641.32E-05  2408.45E-04  
280000.E-01  1702.48E-05  2541.82E-04  
288000.E-01  1769.77E-05  2701.68E-04  
296000.E-01  1840.60E-05  2857.75E-04  
304000.E-01  1917.27E-05  2998.66E-04  
312000.E-01  1997.22E-05  3188.49E-04  
320000.E-01  2086.31E-05  3444.94E-04  
328000.E-01  2180.80E-05  3596.29E-04  
336000.E-01  2277.18E-05  3825.12E-04  
344000.E-01  2384.60E-05  4078.25E-04  
352000.E-01  2502.60E-05  4392.77E-04  
360000.E-01  2632.72E-05  4740.42E-04  
368000.E-01  2766.16E-05  5058.65E-04  
376000.E-01  2913.23E-05  5458.40E-04  
384000.E-01  3064.79E-05  5879.96E-04  
392000.E-01  3241.41E-05  6440.60E-04  
400000.E-01  3391.32E-05  6976.53E-04  
408000.E-01  3540.91E-05  7602.39E-04  
416000.E-01  3635.69E-05  8334.09E-04  
424000.E-01  3721.16E-05  9066.59E-04  
432000.E-01  3825.68E-05  9755.86E-04  
440000.E-01  4014.38E-05  1057.93E-03  
448000.E-01  4184.15E-05  1110.51E-03  
456000.E-01  4287.60E-05  1151.16E-03  
464000.E-01  4307.95E-05  1159.53E-03  
472000.E-01  4157.75E-05  1113.66E-03  
480000.E-01  3828.34E-05  1016.70E-03  
488000.E-01  3296.14E-05  8547.97E-04  
496000.E-01  2580.48E-05  6551.83E-04  
504000.E-01  1832.04E-05  4546.41E-04  
512000.E-01  1126.30E-05  2704.42E-04  
520000.E-01  5736.11E-06  1325.63E-04  
528000.E-01  2393.76E-06  5261.32E-05  
536000.E-01  8087.21E-07  1749.96E-05  
544000.E-01  1733.27E-07  3554.66E-06  
552000.E-01  3660.04E-08  6675.18E-07  
560000.E-01  4862.55E-09  8147.64E-08  
568000.E-01  0000.00E+00  0000.00E+00  
576000.E-01  0000.00E+00  0000.00E+00  
584000.E-01  0000.00E+00  0000.00E+00  
592000.E-01  0000.00E+00  0000.00E+00  
600000.E-01  0000.00E+00  0000.00E+00  
608000.E-01  0000.00E+00  0000.00E+00  
616000.E-01  0000.00E+00  0000.00E+00  
624000.E-01  0000.00E+00  0000.00E+00  
632000.E-01  0000.00E+00  0000.00E+00  
640000.E-01  0000.00E+00  0000.00E+00  
648000.E-01  0000.00E+00  0000.00E+00  
656000.E-01  0000.00E+00  0000.00E+00  
664000.E-01  0000.00E+00  0000.00E+00  
672000.E-01  0000.00E+00  0000.00E+00  
680000.E-01  0000.00E+00  0000.00E+00  
688000.E-01  0000.00E+00  0000.00E+00  
696000.E-01  0000.00E+00  0000.00E+00  
704000.E-01  0000.00E+00  0000.00E+00  
712000.E-01  0000.00E+00  0000.00E+00  
720000.E-01  0000.00E+00  0000.00E+00  
728000.E-01  0000.00E+00  0000.00E+00  
736000.E-01  0000.00E+00  0000.00E+00  
744000.E-01  0000.00E+00  0000.00E+00  
752000.E-01  0000.00E+00  0000.00E+00  
760000.E-01  0000.00E+00  0000.00E+00  
768000.E-01  0000.00E+00  0000.00E+00  
776000.E-01  0000.00E+00  0000.00E+00  
784000.E-01  0000.00E+00  0000.00E+00  
792000.E-01  0000.00E+00  0000.00E+00  
800000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
