============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ni (28)   Ion Mass= 057.9400
Energy  = 2500000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.8955 g/cm3
  Layer # 1 -  100 % of Ni
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.9834E+04  3.8238E+03  4.4625E+03
0000002   2.6961E+04  6.9133E+03 -6.5315E+03
0000003   3.6604E+04 -3.6627E+03 -9.0317E+03
0000004   3.9495E+04  5.2688E+03  4.5896E+03
0000005   3.7677E+04  9.6344E+03  2.2512E+03
0000006   3.9923E+04  4.7842E+03  2.5931E+03
0000007   4.1666E+04 -4.7431E+03  2.9699E+03
0000008   3.8206E+04  5.5689E+03 -7.5072E+03
0000009   3.7405E+04 -6.1881E+03  3.6436E+02
0000010   3.7434E+04  3.5616E+03 -1.6811E+03
0000011   3.4123E+04 -5.5718E+03  4.5340E+03
0000012   3.6416E+04  2.3072E+03 -9.5577E+03
0000013   3.7719E+04 -5.9539E+03  2.6131E+02
0000014   4.1701E+04  2.4512E+03 -3.1611E+03
0000015   2.9166E+04  2.3908E+03 -4.0058E+03
0000016   3.8915E+04  5.9085E+02 -4.5795E+03
0000017   4.0660E+04 -2.5850E+03 -3.0650E+03
0000018   4.0371E+04  5.4852E+03  4.8885E+03
0000019   4.0710E+04 -1.1490E+02  6.2841E+03
0000020   3.6166E+04  4.7979E+03  1.0309E+04
0000021   3.7953E+04  7.4479E+03  3.2167E+03
0000022   4.0157E+04  2.5507E+03  1.2155E+03
0000023   2.4564E+04  2.3147E+03 -5.2214E+03
0000024   3.1998E+04 -7.5248E+03  7.6659E+03
0000025   4.1288E+04  7.0250E+02  2.0219E+03
0000026   4.0887E+04 -1.6241E+03 -2.0330E+03
0000027   4.4312E+04 -1.3224E+03 -1.6509E+03
0000028   4.0694E+04  6.4863E+03  7.2361E+03
0000029   3.5255E+04  6.2440E+02 -1.5861E+03
0000030   3.9966E+04 -5.2797E+03 -3.3713E+03
0000031   4.1179E+04  4.5956E+02  1.2069E+02
0000032   3.7055E+04  6.6554E+03 -1.0662E+04
0000033   4.2398E+04 -3.0491E+03  2.5665E+03
0000034   3.5116E+04 -6.2612E+02  6.5276E+02
0000035   3.6136E+04 -5.9697E+03 -5.0223E+03
0000036   3.9608E+04 -8.1543E+03  7.6944E+03
0000037   3.9045E+04 -8.5863E+03 -6.6587E+03
0000038   3.6448E+04  3.6506E+03 -5.3818E+03
0000039   3.1191E+04  4.0030E+03 -5.4290E+03
0000040   4.2302E+04  6.2368E+01  3.8341E+03
0000041   3.6855E+04 -1.0921E+04 -6.4656E+03
0000042   3.7067E+04 -3.3280E+03  8.6316E+03
0000043   3.6073E+04 -2.6498E+03  3.7569E+03
0000044   3.0263E+04  1.4875E+03 -8.3602E+02
0000045   3.5137E+04 -2.0449E+03 -9.7088E+03
0000046   3.7255E+04 -3.3719E+03 -1.1997E+04
0000047   3.8053E+04  1.4704E+02 -6.9387E+03
0000048   3.5410E+04 -3.1351E+03  3.3229E+03
0000049   4.2426E+04  5.5172E+03 -8.2427E+03
0000050   3.8347E+04 -4.7851E+03  7.1802E+03
0000051   4.0782E+04 -1.0350E+03 -1.4368E+03
0000052   3.9638E+04  7.4456E+03  3.5396E+03
0000053   3.5629E+04  5.2029E+03 -3.6511E+03
0000054   3.3283E+04 -2.4517E+03  5.6818E+03
0000055   3.5641E+04  3.2592E+03  1.5395E+03
0000056   3.7121E+04 -8.0887E+03 -2.9802E+03
0000057   2.7359E+04 -1.8805E+03 -9.0450E+03
0000058   4.0801E+04 -4.2867E+03 -5.3739E+03
0000059   4.1620E+04 -3.6662E+02 -3.3533E+02
0000060   3.3887E+04 -4.3746E+03  6.7549E+03
0000061   3.6252E+04  9.1653E+03 -2.4879E+03
0000062   4.3082E+04 -1.0744E+03  2.0621E+03
0000063   3.7682E+04 -2.0821E+03  5.1387E+03
0000064   3.8245E+04  1.4268E+03 -5.7526E+03
0000065   3.9753E+04  5.6929E+03 -1.8904E+03
0000066   3.7463E+04  9.4677E+03 -1.3011E+04
0000067   4.2024E+04 -1.8589E+03  2.5669E+03
0000068   3.9726E+04 -3.6369E+02  8.3034E+03
0000069   3.7708E+04  2.1300E+03 -1.1115E+03
0000070   3.9219E+04 -5.8495E+02  8.9889E+03
0000071   3.6689E+04 -4.2052E+03  4.6084E+02
0000072   2.9411E+04  2.7559E+02  4.4387E+02
0000073   3.6878E+04  6.7112E+03 -9.4434E+03
0000074   3.7420E+04  1.4240E+03  5.3127E+03
0000075   3.4693E+04  1.5100E+04  3.2440E+03
0000076   4.1195E+04  5.0303E+03  3.6919E+03
0000077   3.9776E+04 -6.6920E+03  1.9617E+03
0000078   3.4006E+04  4.0556E+02  4.9583E+03
0000079   4.1923E+04 -2.0438E+03 -1.6222E+03
0000080   3.8153E+04  2.7257E+03  6.1380E+03
0000081   3.8233E+04 -5.1383E+03 -3.0314E+03
0000082   3.4490E+04  1.1352E+04  4.1883E+03
0000083   3.6475E+04  5.3413E+03 -5.5855E+03
0000084   3.8637E+04  4.5079E+03  5.7470E+03
0000085   3.9991E+04 -3.2619E+03  5.4711E+02
0000086   3.9860E+04  6.7392E+02 -2.4717E+03
0000087   3.9513E+04  2.9466E+03 -2.2804E+03
0000088   4.1235E+04 -2.1593E+03 -1.9760E+03
0000089   3.5109E+04  3.0851E+03  2.1600E+03
0000090   3.8965E+04 -4.1990E+03 -4.2459E+03
0000091   4.1599E+04  3.8388E+03  4.7826E+03
0000092   4.0223E+04  2.4825E+03  2.4164E+03
0000093   3.8622E+04 -8.4232E+03 -5.3598E+03
0000094   4.2353E+04  1.1340E+03  2.4402E+03
0000095   4.0277E+04 -3.5038E+03 -3.3517E+03
0000096   3.7912E+04  5.9907E+03 -3.7723E+03
0000097   3.6008E+04  5.9736E+03  6.3596E+03
0000098   3.9006E+04  3.7562E+03  2.7870E+03
0000099   3.7534E+04 -7.0128E+03  5.6909E+03
0000100   3.7466E+04  5.6563E+03  5.8320E+03
0000101   3.7539E+04  4.7895E+03 -5.4267E+03
0000102   3.3851E+04 -8.2299E+03  1.0088E+04
0000103   4.0125E+04 -4.4426E+03  5.8576E+03
0000104   4.0188E+04  1.5410E+03  3.3352E+03
0000105   3.9027E+04  7.0303E+03  2.1964E+03
0000106   4.0731E+04 -1.4692E+03 -2.6143E+03
0000107   3.5125E+04  4.2477E+03 -3.8357E+02
